Codepoint,Character,Translation,Has Korean,Error
U+3000,　, ,false,
U+3001,、,",",false,
U+3002,。,.,false,
U+3003,〃,〃,false,
U+3004,〄,?,false,
U+3006,〆,□,false,
U+3007,〇,0,false,
U+3008,〈,〈,false,
U+3009,〉,〉,false,
U+300A,《,《,false,
U+300B,》,》,false,
U+300C,「,「,false,
U+300D,」,」,false,
U+300E,『,『,false,
U+300F,』,』,false,
U+3010,【,【,false,
U+3011,】,】,false,
U+3013,〓,＝,false,
U+3014,〔,〔,false,
U+3015,〕,〕,false,
U+3016,〖,〖,false,
U+3017,〗,〗,false,
U+3018,〘,?,false,
U+3019,〙,?,false,
U+301A,〚,?,false,
U+301B,〛,?,false,
U+301C,〜,~,false,
U+301D,〝,“,false,
U+301E,〞,?,false,
U+301F,〟,”,false,
U+3020,〠,?,false,
U+3021,〡,?,false,
U+3022,〢,?,false,
U+3023,〣,?,false,
U+3024,〤,?,false,
U+3025,〥,?,false,
U+3026,〦,?,false,
U+3027,〧,?,false,
U+3028,〨,?,false,
U+3029,〩,?,false,
U+302A,〪,?,false,
U+302B,〫,?,false,
U+302C,〬,?,false,
U+302D,〭,?,false,
U+302E,〮,?,false,
U+302F,〯,?,false,
U+3030,〰,?,false,
U+3031,〱,?,false,
U+3032,〲,?,false,
U+3033,〳,?,false,
U+3034,〴,?,false,
U+3035,〵,?,false,
U+3036,〶,?,false,
U+3037,〷,?,false,
U+3038,〸,?,false,
U+3039,〹,?,false,
U+303A,〺,?,false,
U+303B,〻,?,false,
U+303C,〼,?,false,
U+303D,〽,?,false,
U+303E,〾,?,false,
U+303F,〿,?,false,
U+3040,぀,?,false,
U+3054,ご,,false,
U+3055,さ,,false,
U+305E,ぞ,,false,
U+305F,た,,false,
U+3062,ぢ,,false,
U+3065,づ,,false,
U+306A,な,,false,
U+3079,べ,,false,
U+307E,ま,,false,
U+3085,ゅ,,false,
U+3086,ゆ,,false,
U+3087,ょ,,false,
U+3088,よ,,false,
U+308A,り,,false,
U+308C,れ,,false,
U+3090,ゐ,,false,
U+3091,ゑ,,false,
U+3095,ゕ,?,false,
U+3096,ゖ,?,false,
U+3097,゗,?,false,
U+3098,゘,?,false,
U+3099,゙,″,false,
U+309A,゚,˚,false,
U+309B,゛,″,false,
U+309C,゜,˚,false,
U+309D,ゝ,□,false,
U+309E,ゞ,□,false,
U+309F,ゟ,?,false,
U+30A0,゠,?,false,
U+30A3,ィ,,false,
U+30A5,ゥ,,false,
U+30A9,ォ,,false,
U+30C3,ッ,,false,
U+30E3,ャ,,false,
U+30E5,ュ,,false,
U+30E7,ョ,,false,
U+30EE,ヮ,,false,
U+30F0,ヰ,,false,
U+30F1,ヱ,,false,
U+30F2,ヲ,,false,
U+30F3,ン,,false,
U+30F5,ヵ,,false,
U+30F6,ヶ,,false,
U+30F7,ヷ,?,false,
U+30F8,ヸ,?,false,
U+30F9,ヹ,?,false,
U+30FA,ヺ,?,false,
U+30FB,・,·,false,
U+30FC,ー,-,false,
U+30FD,ヽ,□,false,
U+30FE,ヾ,□,false,
U+30FF,ヿ,?,false,
U+59BC,妼,?,false,
U+59BD,妽,?,false,
U+59BF,妿,?,false,
U+59C0,姀,?,false,
U+59C1,姁,?,false,
U+59C2,姂,?,false,
U+59C3,姃,?,false,
U+59C4,姄,?,false,
U+59C5,姅,?,false,
U+59C7,姇,?,false,
U+59C8,姈,?,false,
U+59CA,姊,?,false,
U+59CC,姌,?,false,
U+59CD,姍,?,false,
U+59CE,姎,?,false,
U+59CF,姏,?,false,
U+59D2,姒,?,false,
U+59D5,姕,?,false,
U+59D6,姖,?,false,
U+59D7,姗,?,false,
U+59D8,姘,?,false,
U+59DB,姛,?,false,
U+59DD,姝,?,false,
U+59DE,姞,?,false,
U+59DF,姟,?,false,
U+59E0,姠,?,false,
U+59E1,姡,?,false,
U+59E2,姢,?,false,
U+59E3,姣,?,false,
U+59E4,姤,?,false,
U+59E7,姧,?,false,
U+59E9,姩,?,false,
U+59EC,姬,?,false,
U+59ED,姭,?,false,
U+59EE,姮,?,false,
U+59EF,姯,?,false,
U+59F0,姰,?,false,
U+59F1,姱,?,false,
U+59F2,姲,?,false,
U+59F3,姳,?,false,
U+59F4,姴,?,false,
U+59F5,姵,?,false,
U+59F7,姷,?,false,
U+59F8,姸,?,false,
U+59F9,姹,?,false,
U+59FA,姺,?,false,
U+59FC,姼,?,false,
U+59FD,姽,?,false,
U+59FE,姾,?,false,
U+5A00,娀,?,false,
U+5A02,娂,?,false,
U+5A04,娄,?,false,
U+5A05,娅,?,false,
U+5A06,娆,?,false,
U+5A07,娇,?,false,
U+5A08,娈,?,false,
U+5A0A,娊,?,false,
U+5A0B,娋,?,false,
U+5A0C,娌,?,false,
U+5A0D,娍,?,false,
U+5A0E,娎,?,false,
U+5A0F,娏,?,false,
U+5A10,娐,?,false,
U+5A12,娒,?,false,
U+5A13,娓,?,false,
U+5A14,娔,?,false,
U+5A15,娕,?,false,
U+5A16,娖,?,false,
U+5A17,娗,?,false,
U+5A19,娙,?,false,
U+5A1B,娛,?,false,
U+5A1D,娝,?,false,
U+5A1E,娞,?,false,
U+5A21,娡,?,false,
U+5A22,娢,?,false,
U+5A23,娣,?,false,
U+5A24,娤,?,false,
U+5A26,娦,?,false,
U+5A27,娧,?,false,
U+5A28,娨,?,false,
U+5A2A,娪,?,false,
U+5A2B,娫,?,false,
U+5A2C,娬,?,false,
U+5A2D,娭,?,false,
U+5A2E,娮,?,false,
U+5A30,娰,?,false,
U+5A31,娱,?,false,
U+5A32,娲,?,false,
U+5A33,娳,?,false,
U+5A34,娴,?,false,
U+5A37,娷,?,false,
U+5A38,娸,?,false,
U+5A39,娹,?,false,
U+5A3A,娺,?,false,
U+5A3B,娻,?,false,
U+5A3D,娽,?,false,
U+5A3E,娾,?,false,
U+5A3F,娿,?,false,
U+5A42,婂,?,false,
U+5A43,婃,?,false,
U+5A44,婄,?,false,
U+5A45,婅,?,false,
U+5A47,婇,?,false,
U+5A48,婈,?,false,
U+5A4A,婊,?,false,
U+5A4B,婋,?,false,
U+5A4C,婌,?,false,
U+5A4D,婍,?,false,
U+5A4E,婎,?,false,
U+5A4F,婏,?,false,
U+5A50,婐,?,false,
U+5A51,婑,?,false,
U+5A52,婒,?,false,
U+5A53,婓,?,false,
U+5A54,婔,?,false,
U+5A55,婕,?,false,
U+5A56,婖,?,false,
U+5A57,婗,?,false,
U+5A58,婘,?,false,
U+5A59,婙,?,false,
U+5A5B,婛,?,false,
U+5A5C,婜,?,false,
U+5A5D,婝,?,false,
U+5A5E,婞,?,false,
U+5A5F,婟,?,false,
U+5A60,婠,?,false,
U+5A61,婡,?,false,
U+5A63,婣,?,false,
U+5A64,婤,?,false,
U+5A65,婥,?,false,
U+5A67,婧,?,false,
U+5A68,婨,?,false,
U+5A69,婩,?,false,
U+5A6B,婫,?,false,
U+5A6D,婭,?,false,
U+5A6E,婮,?,false,
U+5A6F,婯,?,false,
U+5A70,婰,?,false,
U+5A71,婱,?,false,
U+5A72,婲,?,false,
U+5A73,婳,?,false,
U+5A74,婴,?,false,
U+5A75,婵,?,false,
U+5A76,婶,?,false,
U+5A77,婷,?,false,
U+5A78,婸,?,false,
U+5A79,婹,?,false,
U+5A7A,婺,?,false,
U+5A7B,婻,?,false,
U+5A7C,婼,?,false,
U+5A7D,婽,?,false,
U+5A7E,婾,?,false,
U+5A80,媀,?,false,
U+5A81,媁,?,false,
U+5A82,媂,?,false,
U+5A83,媃,?,false,
U+5A84,媄,?,false,
U+5A85,媅,?,false,
U+5A86,媆,?,false,
U+5A87,媇,?,false,
U+5A88,媈,?,false,
U+5A89,媉,?,false,
U+5A8A,媊,?,false,
U+5A8B,媋,?,false,
U+5A8C,媌,?,false,
U+5A8D,媍,?,false,
U+5A8E,媎,?,false,
U+5A8F,媏,?,false,
U+5A90,媐,?,false,
U+5A91,媑,?,false,
U+5A93,媓,?,false,
U+5A94,媔,?,false,
U+5A95,媕,?,false,
U+5A96,媖,?,false,
U+5A97,媗,?,false,
U+5A98,媘,?,false,
U+5A99,媙,?,false,
U+5A9C,媜,?,false,
U+5A9D,媝,?,false,
U+5A9E,媞,?,false,
U+5A9F,媟,?,false,
U+5AA0,媠,?,false,
U+5AA1,媡,?,false,
U+5AA2,媢,?,false,
U+5AA3,媣,?,false,
U+5AA4,媤,?,false,
U+5AA5,媥,?,false,
U+5AA6,媦,?,false,
U+5AA7,媧,?,false,
U+5AA8,媨,?,false,
U+5AA9,媩,?,false,
