code,character,translation,issue_type,category,char_name,trans_name,accept
U+000020, ,,different,삭제됨 (빈 문자열),SPACE,N/A,
U+000022,""",”""",different,,멀티바이트 변환,N/A,N/A,
U+0000A0, ,?,question_mark,특수문자 → 특수문자,NO-BREAK SPACE,QUESTION MARK,
U+0000A1,¡,!,different,특수문자 → 특수문자,INVERTED EXCLAMATION MARK,EXCLAMATION MARK,
U+0000A2,¢,￠,different,특수문자 → 특수문자,CENT SIGN,FULLWIDTH CENT SIGN,
U+0000A3,£,￡,different,특수문자 → 특수문자,POUND SIGN,FULLWIDTH POUND SIGN,
U+0000A5,¥,\,different,특수문자 → 특수문자,YEN SIGN,REVERSE SOLIDUS,
U+0000A6,¦,|,different,특수문자 → 특수문자,BROKEN BAR,VERTICAL LINE,
U+0000A9,©,c,different,기타 변환,COPYRIGHT SIGN,LATIN SMALL LETTER C,
U+0000AA,ª,a,different,알파벳 → 알파벳,FEMININE ORDINAL INDICATOR,LATIN SMALL LETTER A,
U+0000AB,«,≪,different,특수문자 → 특수문자,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,MUCH LESS-THAN,
U+0000AC,¬,￢,different,특수문자 → 특수문자,NOT SIGN,FULLWIDTH NOT SIGN,
U+0000AE,®,R,different,기타 변환,REGISTERED SIGN,LATIN CAPITAL LETTER R,
U+0000AF,¯,￣,different,특수문자 → 특수문자,MACRON,FULLWIDTH MACRON,
U+0000B0,°,о,different,기타 변환,DEGREE SIGN,CYRILLIC SMALL LETTER O,
U+0000B2,²,2,different,기타 변환,SUPERSCRIPT TWO,DIGIT TWO,
U+0000B3,³,3,different,기타 변환,SUPERSCRIPT THREE,DIGIT THREE,
U+0000B4,´,′,different,특수문자 → 특수문자,ACUTE ACCENT,PRIME,TRUE
U+0000B5,µ,μ,different,알파벳 → 알파벳,MICRO SIGN,GREEK SMALL LETTER MU,TRUE
U+0000B8,¸,",",different,특수문자 → 특수문자,CEDILLA,COMMA,TRUE
U+0000B9,¹,1,different,기타 변환,SUPERSCRIPT ONE,DIGIT ONE,
U+0000BA,º,o,different,알파벳 → 알파벳,MASCULINE ORDINAL INDICATOR,LATIN SMALL LETTER O,TRUE
U+0000BB,»,≫,different,특수문자 → 특수문자,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,MUCH GREATER-THAN,TRUE
U+0000C0,À,A,different,알파벳 → 알파벳,LATIN CAPITAL LETTER A WITH GRAVE,LATIN CAPITAL LETTER A,
U+0000C1,Á,A,different,알파벳 → 알파벳,LATIN CAPITAL LETTER A WITH ACUTE,LATIN CAPITAL LETTER A,
U+0000C2,Â,A,different,알파벳 → 알파벳,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,LATIN CAPITAL LETTER A,
U+0000C3,Ã,A,different,알파벳 → 알파벳,LATIN CAPITAL LETTER A WITH TILDE,LATIN CAPITAL LETTER A,
U+0000C4,Ä,A,different,알파벳 → 알파벳,LATIN CAPITAL LETTER A WITH DIAERESIS,LATIN CAPITAL LETTER A,
U+0000C5,Å,A,different,알파벳 → 알파벳,LATIN CAPITAL LETTER A WITH RING ABOVE,LATIN CAPITAL LETTER A,
U+0000C6,Æ,A,different,알파벳 → 알파벳,LATIN CAPITAL LETTER AE,LATIN CAPITAL LETTER A,
U+0000C7,Ç,C,different,알파벳 → 알파벳,LATIN CAPITAL LETTER C WITH CEDILLA,LATIN CAPITAL LETTER C,
U+0000C8,È,E,different,알파벳 → 알파벳,LATIN CAPITAL LETTER E WITH GRAVE,LATIN CAPITAL LETTER E,
U+0000C9,É,E,different,알파벳 → 알파벳,LATIN CAPITAL LETTER E WITH ACUTE,LATIN CAPITAL LETTER E,
U+0000CA,Ê,E,different,알파벳 → 알파벳,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,LATIN CAPITAL LETTER E,
U+0000CB,Ë,E,different,알파벳 → 알파벳,LATIN CAPITAL LETTER E WITH DIAERESIS,LATIN CAPITAL LETTER E,
U+0000CC,Ì,I,different,알파벳 → 알파벳,LATIN CAPITAL LETTER I WITH GRAVE,LATIN CAPITAL LETTER I,
U+0000CD,Í,I,different,알파벳 → 알파벳,LATIN CAPITAL LETTER I WITH ACUTE,LATIN CAPITAL LETTER I,
U+0000CE,Î,I,different,알파벳 → 알파벳,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,LATIN CAPITAL LETTER I,
U+0000CF,Ï,I,different,알파벳 → 알파벳,LATIN CAPITAL LETTER I WITH DIAERESIS,LATIN CAPITAL LETTER I,
U+0000D0,Ð,D,different,알파벳 → 알파벳,LATIN CAPITAL LETTER ETH,LATIN CAPITAL LETTER D,
